# mu values:
1.414214
# num_x_vals
36
# x, apfel++, SAL, ratio
0.0001, 3.63257, 3.11292, 1.16693
0.0002, 3.1662, 2.73291, 1.15854
0.0003, 2.92009, 2.53219, 1.15319
0.0004, 2.75633, 2.39857, 1.14916
0.0005, 2.63517, 2.29965, 1.1459
0.0006, 2.53982, 2.22174, 1.14317
0.0007, 2.4616, 2.15783, 1.14078
0.0008, 2.3956, 2.10387, 1.13867
0.0009, 2.3387, 2.05732, 1.13677
0.001, 2.28879, 2.01649, 1.13503
0.002, 1.9826, 1.76555, 1.12294
0.003, 1.81951, 1.63145, 1.11527
0.004, 1.71, 1.54118, 1.10954
0.005, 1.62825, 1.47362, 1.10494
0.006, 1.56335, 1.41983, 1.10109
0.007, 1.50966, 1.37524, 1.09774
0.008, 1.46397, 1.33721, 1.0948
0.009, 1.42425, 1.30406, 1.09216
0.01, 1.38913, 1.2747, 1.08977
0.02, 1.16545, 1.08585, 1.07331
0.03, 1.03752, 0.975902, 1.06314
0.04, 0.946282, 0.896378, 1.05567
0.05, 0.874534, 0.833082, 1.04976
0.06, 0.814927, 0.779942, 1.04486
0.07, 0.763627, 0.733807, 1.04064
0.08, 0.718436, 0.692833, 1.03695
0.09, 0.677911, 0.655848, 1.03364
0.1, 0.641162, 0.62206, 1.03071
0.2, 0.38794, 0.383674, 1.01112
0.3, 0.238111, 0.238225, 0.999523
0.4, 0.141072, 0.142146, 0.992445
0.5, 0.0780876, 0.0788913, 0.989813
0.6, 0.0388373, 0.0390356, 0.994921
0.7, 0.0162479, 0.0159992, 1.01554
0.8, 0.00502497, 0.00462335, 1.08687
0.9, 0.000823074, 0.000565303, 1.45599
0.0001, 0.00895573, 0.00118324, 7.56882
0.0002, 0.00867432, 0.00186585, 4.64899
0.0003, 0.00873842, 0.00243563, 3.58774
0.0004, 0.00891079, 0.00294266, 3.02815
0.0005, 0.00912939, 0.0034076, 2.67913
0.0006, 0.00937037, 0.00384153, 2.43923
0.0007, 0.00962259, 0.00425127, 2.26346
0.0008, 0.00988038, 0.00464137, 2.12876
0.0009, 0.0101405, 0.00501506, 2.02201
0.001, 0.010401, 0.00537476, 1.93516
0.002, 0.0129061, 0.00847671, 1.52253
0.003, 0.0151867, 0.0110634, 1.3727
0.004, 0.0172869, 0.0133621, 1.29373
0.005, 0.0192481, 0.0154668, 1.24448
0.006, 0.0210986, 0.0174278, 1.21062
0.007, 0.0228583, 0.0192763, 1.18582
0.008, 0.0245415, 0.021033, 1.16681
0.009, 0.026159, 0.0227127, 1.15173
0.01, 0.0277191, 0.0243264, 1.13947
0.02, 0.041178, 0.0380912, 1.08104
0.03, 0.0522567, 0.0493168, 1.05961
0.04, 0.0619028, 0.0590583, 1.04817
0.05, 0.0705287, 0.0677577, 1.0409
0.06, 0.0783624, 0.075655, 1.03579
0.07, 0.0855486, 0.0828997, 1.03195
0.08, 0.0921851, 0.0895932, 1.02893
0.09, 0.0983433, 0.0958085, 1.02646
0.1, 0.104078, 0.101601, 1.02438
