# mu value:
20.000000
# num_x_vals
36
# x, evolved, exact, ratio
0.0001, 88.5861, 88.3397, 1.00279
0.0002, 64.8369, 64.8396, 0.999959
0.0003, 53.768, 53.852, 0.998439
0.0004, 46.9745, 47.099, 0.997356
0.0005, 42.2467, 42.3922, 0.996568
0.0006, 38.7063, 38.8633, 0.995959
0.0007, 35.9208, 36.0864, 0.99541
0.0008, 33.6549, 33.8247, 0.994979
0.0009, 31.7631, 31.9364, 0.994576
0.001, 30.1513, 30.3266, 0.994221
0.002, 21.2435, 21.4161, 0.991942
0.003, 17.1943, 17.3571, 0.990621
0.004, 14.7492, 14.904, 0.989609
0.005, 13.0683, 13.2165, 0.988783
0.006, 11.8219, 11.9639, 0.988128
0.007, 10.8493, 10.9868, 0.98749
0.008, 10.0638, 10.1974, 0.986904
0.009, 9.41204, 9.54299, 0.986278
0.01, 8.85979, 8.98682, 0.985865
0.02, 5.86478, 5.97218, 0.982016
0.03, 4.53995, 4.63739, 0.978989
0.04, 3.7529, 3.84402, 0.976298
0.05, 3.21815, 3.30444, 0.973889
0.06, 2.82536, 2.90726, 0.971829
0.07, 2.52138, 2.59942, 0.969978
0.08, 2.27758, 2.35205, 0.968337
0.09, 2.07668, 2.14746, 0.967039
0.1, 1.91169, 1.97486, 0.968012
0.2, 1.00942, 1.04912, 0.962163
0.3, 0.621414, 0.649606, 0.956602
0.4, 0.402967, 0.420769, 0.95769
0.5, 0.264024, 0.27347, 0.965459
0.6, 0.171768, 0.173122, 0.99218
0.7, 0.1037, 0.102968, 1.00712
0.8, 0.0544945, 0.0537364, 1.01411
0.9, 0.019438, 0.0200036, 0.971728
0.0001, 2.30132, 2.278, 1.01024
0.0002, 1.746, 1.75101, 0.997137
0.0003, 1.48091, 1.49485, 0.990671
0.0004, 1.31578, 1.33362, 0.986619
0.0005, 1.19961, 1.21931, 0.983839
0.0006, 1.11188, 1.13247, 0.981822
0.0007, 1.04239, 1.0634, 0.980248
0.0008, 0.985547, 1.00665, 0.979038
0.0009, 0.937855, 0.958896, 0.978057
0.001, 0.897053, 0.917932, 0.977255
0.002, 0.668684, 0.686593, 0.973916
0.003, 0.563393, 0.578753, 0.973461
0.004, 0.499567, 0.513069, 0.973683
0.005, 0.455723, 0.467828, 0.974125
0.006, 0.423327, 0.434338, 0.97465
0.007, 0.398182, 0.408344, 0.975114
0.008, 0.378007, 0.387484, 0.975541
0.009, 0.361393, 0.370343, 0.975833
0.01, 0.347432, 0.355892, 0.976229
0.02, 0.275166, 0.281491, 0.97753
0.03, 0.246881, 0.25264, 0.977207
0.04, 0.232211, 0.237755, 0.976682
0.05, 0.22359, 0.228988, 0.976427
0.06, 0.218155, 0.223385, 0.976589
0.07, 0.214563, 0.219592, 0.9771
0.08, 0.212116, 0.216905, 0.977922
0.09, 0.210405, 0.214911, 0.979034
0.1, 0.209194, 0.213374, 0.980413
0.2, 0.204073, 0.205132, 0.994837
0.3, 0.198637, 0.197971, 1.00336
0.4, 0.191686, 0.191241, 1.00233
0.5, 0.18527, 0.186427, 0.993798
0.6, 0.181402, 0.184296, 0.984299
0.7, 0.179974, 0.184565, 0.975127
0.8, 0.179931, 0.185199, 0.971552
0.9, 0.174456, 0.179251, 0.97325
0.0001, 2.29988, 2.33228, 0.986105
0.0002, 1.74492, 1.75647, 0.993422
0.0003, 1.48047, 1.48422, 0.997479
0.0004, 1.31599, 1.31593, 1.00004
0.0005, 1.20042, 1.19826, 1.0018
0.0006, 1.11326, 1.10987, 1.00306
0.0007, 1.0443, 1.04023, 1.00391
0.0008, 0.987942, 0.983492, 1.00452
0.0009, 0.940717, 0.936114, 1.00492
0.001, 0.900358, 0.89574, 1.00516
0.002, 0.675581, 0.673307, 1.00338
0.003, 0.573083, 0.573669, 0.998979
0.004, 0.511662, 0.514711, 0.994076
0.005, 0.469989, 0.475082, 0.98928
0.006, 0.439607, 0.446386, 0.984813
0.007, 0.416359, 0.424573, 0.980654
0.008, 0.397994, 0.407421, 0.976863
0.009, 0.38312, 0.393614, 0.973339
0.01, 0.37084, 0.382191, 0.970302
0.02, 0.313473, 0.32901, 0.952775
0.03, 0.298158, 0.314116, 0.949196
0.04, 0.295323, 0.310341, 0.95161
0.05, 0.297698, 0.311212, 0.956576
0.06, 0.302574, 0.31436, 0.962506
0.07, 0.308704, 0.318732, 0.968538
0.08, 0.315457, 0.323795, 0.974251
0.09, 0.322469, 0.329228, 0.979469
0.1, 0.329636, 0.334872, 0.984364
0.2, 0.390247, 0.390028, 1.00056
0.3, 0.430638, 0.435462, 0.988922
0.4, 0.461729, 0.472203, 0.97782
0.5, 0.493706, 0.504159, 0.979266
0.6, 0.535035, 0.537122, 0.996113
0.7, 0.585601, 0.578286, 1.01265
0.8, 0.640615, 0.632079, 1.0135
0.9, 0.668618, 0.679914, 0.983385
0.0001, 2.29495, 2.29301, 1.00085
0.0002, 1.73859, 1.74358, 0.997138
0.0003, 1.47239, 1.47855, 0.995829
0.0004, 1.3062, 1.31246, 0.99523
0.0005, 1.18905, 1.19504, 0.994988
0.0006, 1.1004, 1.106, 0.994935
0.0007, 1.03005, 1.0353, 0.994936
0.0008, 0.972392, 0.977255, 0.995023
0.0009, 0.92393, 0.928457, 0.995123
0.001, 0.882394, 0.886614, 0.995241
0.002, 0.648049, 0.650314, 0.996518
0.003, 0.538219, 0.539649, 0.997349
0.004, 0.470641, 0.47172, 0.997711
0.005, 0.423561, 0.424505, 0.997775
0.006, 0.388301, 0.389208, 0.99767
0.007, 0.360574, 0.361527, 0.997364
0.008, 0.338042, 0.339076, 0.996951
0.009, 0.319256, 0.320417, 0.996376
0.01, 0.303278, 0.304526, 0.995901
0.02, 0.216032, 0.218294, 0.98964
0.03, 0.177787, 0.180627, 0.984274
0.04, 0.155709, 0.158795, 0.980565
0.05, 0.141284, 0.144397, 0.978445
0.06, 0.131168, 0.134157, 0.977721
0.07, 0.12373, 0.126512, 0.97801
0.08, 0.118091, 0.120611, 0.979103
0.09, 0.113713, 0.115932, 0.980861
0.1, 0.11027, 0.11216, 0.983155
0.2, 0.0969601, 0.0965176, 1.00458
0.3, 0.0963219, 0.0952052, 1.01173
0.4, 0.100354, 0.0995327, 1.00825
0.5, 0.108496, 0.108191, 1.00283
0.6, 0.121271, 0.120973, 1.00246
0.7, 0.137407, 0.137368, 1.00028
0.8, 0.154678, 0.155286, 0.996083
0.9, 0.164748, 0.167161, 0.985562
0.0001, 2.04733, 2.0838, 0.982499
0.0002, 1.53242, 1.56422, 0.97967
0.0003, 1.28773, 1.31567, 0.978763
0.0004, 1.1357, 1.16075, 0.978415
0.0005, 1.02893, 1.05169, 0.978359
