# mu values:
1.414214
# num_x_vals
36
# x, apfel++, SAL, ratio
0.0001, 4.36355, 3.89112, 1.12141
0.0002, 3.57215, 3.18852, 1.12032
0.0003, 3.17691, 2.83756, 1.11959
0.0004, 2.92285, 2.61201, 1.119
0.0005, 2.73962, 2.44931, 1.11853
0.0006, 2.59832, 2.32381, 1.11813
0.0007, 2.48435, 2.22262, 1.11776
0.0008, 2.38957, 2.13845, 1.11743
0.0009, 2.30888, 2.06678, 1.11714
0.001, 2.2389, 2.00465, 1.11685
0.002, 1.82636, 1.63824, 1.11483
0.003, 1.61893, 1.45398, 1.11345
0.004, 1.48473, 1.33478, 1.11234
0.005, 1.38732, 1.24825, 1.11141
0.006, 1.31172, 1.18108, 1.11062
0.007, 1.25037, 1.12658, 1.10988
0.008, 1.19904, 1.08097, 1.10923
0.009, 1.15508, 1.0419, 1.10862
0.01, 1.11672, 1.00782, 1.10806
0.02, 0.884504, 0.801313, 1.10382
0.03, 0.761483, 0.691712, 1.10087
0.04, 0.67825, 0.617424, 1.09852
0.05, 0.615432, 0.56123, 1.09658
0.06, 0.564979, 0.515988, 1.09495
0.07, 0.52278, 0.478079, 1.0935
0.08, 0.486521, 0.445429, 1.09225
0.09, 0.45471, 0.416741, 1.09111
0.1, 0.426419, 0.39115, 1.09017
0.2, 0.244517, 0.225181, 1.08587
0.3, 0.146254, 0.134289, 1.0891
0.4, 0.0859763, 0.0778683, 1.10412
0.5, 0.0483612, 0.0422685, 1.14414
0.6, 0.0256368, 0.0205387, 1.24822
0.7, 0.0128412, 0.00828995, 1.549
0.8, 0.00635607, 0.00236397, 2.68872
0.9, 0.00317577, 0.000285679, 11.1166
0.0001, 0.0276068, 0.00225, 12.2697
0.0002, 0.0239924, 0.00341118, 7.03348
0.0003, 0.022553, 0.00435142, 5.1829
0.0004, 0.0218471, 0.00517188, 4.22422
0.0005, 0.0214903, 0.00591339, 3.63417
0.0006, 0.0213292, 0.0065975, 3.23292
0.0007, 0.0212887, 0.00723727, 2.94154
0.0008, 0.0213284, 0.00784137, 2.71998
0.0009, 0.0214234, 0.00841591, 2.54558
0.001, 0.0215579, 0.0089654, 2.40457
0.002, 0.0237603, 0.0135896, 1.74841
0.003, 0.0263068, 0.0173286, 1.51812
0.004, 0.0288076, 0.0205857, 1.3994
0.005, 0.0312071, 0.023524, 1.32661
0.006, 0.0335018, 0.0262296, 1.27725
0.007, 0.0356993, 0.0287549, 1.2415
0.008, 0.0378089, 0.0311344, 1.21438
0.009, 0.0398396, 0.0333928, 1.19306
0.01, 0.0417993, 0.0355482, 1.17585
0.02, 0.0586051, 0.0534729, 1.09598
0.03, 0.0722075, 0.0676215, 1.06782
0.04, 0.0838641, 0.0796367, 1.05308
0.05, 0.094144, 0.0901905, 1.04383
0.06, 0.103365, 0.0996414, 1.03737
0.07, 0.111731, 0.10821, 1.03254
0.08, 0.119378, 0.116044, 1.02873
0.09, 0.126405, 0.123249, 1.02561
0.1, 0.132891, 0.129903, 1.023
0.2, 0.176783, 0.175364, 1.00809
0.3, 0.195851, 0.195821, 1.00016
0.4, 0.198686, 0.199684, 0.995002
0.5, 0.189289, 0.190775, 0.992211
0.6, 0.169977, 0.17128, 0.992393
0.7, 0.142154, 0.142563, 0.997131
0.8, 0.106521, 0.105455, 1.01011
0.9, 0.0626199, 0.0602651, 1.03907
0.0001, 0.027621, 0.00226008, 12.2213
0.0002, 0.0240206, 0.00343134, 7.00035
0.0003, 0.0225949, 0.00438165, 5.15671
0.0004, 0.0219029, 0.00521217, 4.20225
0.0005, 0.0215597, 0.00596375, 3.61514
0.0006, 0.0214124, 0.0066579, 3.21608
0.0007, 0.0213856, 0.00730772, 2.92643
0.0008, 0.0214389, 0.00792186, 2.70629
0.0009, 0.0215475, 0.00850644, 2.53308
0.001, 0.0216956, 0.00906596, 2.39309
0.002, 0.0240333, 0.0137901, 1.74279
0.003, 0.0267138, 0.0176284, 1.51538
0.004, 0.0293475, 0.0209843, 1.39855
0.005, 0.0318788, 0.0240207, 1.32714
0.006, 0.0343044, 0.0268239, 1.27888
0.007, 0.0366319, 0.0294461, 1.24403
0.008, 0.0388705, 0.031922, 1.21767
0.009, 0.0410294, 0.0342762, 1.19702
0.01, 0.0431163, 0.0365267, 1.18041
0.02, 0.0611481, 0.0553717, 1.10432
0.03, 0.0758974, 0.0703848, 1.07832
0.04, 0.0886275, 0.0832115, 1.06509
0.05, 0.0999123, 0.0945262, 1.05698
0.06, 0.110074, 0.10469, 1.05143
0.07, 0.11932, 0.113925, 1.04736
0.08, 0.12779, 0.122382, 1.04419
0.09, 0.135588, 0.130169, 1.04163
0.1, 0.142794, 0.137367, 1.03951
0.2, 0.191791, 0.186526, 1.02823
0.3, 0.213803, 0.208669, 1.0246
0.4, 0.219217, 0.213449, 1.02702
0.5, 0.213194, 0.205511, 1.03738
0.6, 0.198611, 0.187501, 1.05926
0.7, 0.176716, 0.160883, 1.09841
0.8, 0.146884, 0.126152, 1.16434
0.9, 0.104006, 0.0824043, 1.26214
0.0001, 0.0259668, 0.000677352, 38.3358
0.0002, 0.0215103, 0.00102806, 20.9233
0.0003, 0.0193903, 0.00131248, 14.7738
0.0004, 0.0180916, 0.00156097, 11.59
0.0005, 0.0171995, 0.00178577, 9.63146
0.0006, 0.0165452, 0.00199334, 8.30025
0.0007, 0.0160439, 0.00218762, 7.33397
0.0008, 0.0156488, 0.00237119, 6.59956
0.0009, 0.0153307, 0.0025459, 6.02171
0.001, 0.0150703, 0.00271308, 5.55468
0.002, 0.0139596, 0.00412367, 3.38524
0.003, 0.013839, 0.00526853, 2.62674
0.004, 0.0140238, 0.00626871, 2.23712
0.005, 0.0143395, 0.0071731, 1.99907
0.006, 0.0147199, 0.00800755, 1.83826
0.007, 0.0151342, 0.00878774, 1.72219
0.008, 0.0155666, 0.0095241, 1.63444
