# mu value:
1.414214
# num_x_vals
36
# x, apfel++, SAL, ratio
0.0001, 3.63257, 5.1432, 0.706286
0.0002, 3.1662, 3.46351, 0.914159
0.0003, 2.92009, 2.74798, 1.06263
0.0004, 2.75633, 2.33168, 1.18212
0.0005, 2.63517, 2.05258, 1.28384
0.0006, 2.53982, 1.84942, 1.3733
0.0007, 2.4616, 1.69335, 1.45369
0.0008, 2.3956, 1.56877, 1.52706
0.0009, 2.3387, 1.46647, 1.59478
0.001, 2.28879, 1.38058, 1.65785
0.002, 1.9826, 0.927189, 2.13829
0.003, 1.81951, 0.733652, 2.48007
0.004, 1.71, 0.620823, 2.75441
0.005, 1.62825, 0.54503, 2.98746
0.006, 1.56335, 0.489753, 3.19213
0.007, 1.50966, 0.447204, 3.37577
0.008, 1.46397, 0.413178, 3.5432
0.009, 1.42425, 0.385182, 3.6976
0.01, 1.38913, 0.361634, 3.84126
0.02, 1.16545, 0.236295, 4.9322
0.03, 1.03752, 0.181853, 5.70528
0.04, 0.946282, 0.149625, 6.32437
0.05, 0.874534, 0.12768, 6.84944
0.06, 0.814927, 0.111481, 7.31
0.07, 0.763627, 0.0988796, 7.72279
0.08, 0.718436, 0.0887086, 8.09883
0.09, 0.677911, 0.080273, 8.44507
0.1, 0.641162, 0.0731293, 8.76752
0.2, 0.38794, 0.0345977, 11.2129
0.3, 0.238111, 0.018395, 12.9444
0.4, 0.141072, 0.00983203, 14.3482
0.5, 0.0780876, 0.00501027, 15.5855
0.6, 0.0388373, 0.00231205, 16.7978
0.7, 0.0162479, 0.00089335, 18.1876
0.8, 0.00502497, 0.000245297, 20.4852
0.9, 0.000823074, 2.86712e-05, 28.7074
0.0001, 0.00895573, 0.283756, 0.0315613
0.0002, 0.00867432, 0.253998, 0.0341511
0.0003, 0.00873842, 0.238075, 0.0367045
0.0004, 0.00891079, 0.227398, 0.0391858
0.0005, 0.00912939, 0.219457, 0.0415999
0.0006, 0.00937037, 0.213183, 0.0439547
0.0007, 0.00962259, 0.208025, 0.046257
0.0008, 0.00988038, 0.203663, 0.0485133
0.0009, 0.0101405, 0.199898, 0.0507283
0.001, 0.010401, 0.196593, 0.0529062
0.002, 0.0129061, 0.17632, 0.0731968
0.003, 0.0151867, 0.165627, 0.0916924
0.004, 0.0172869, 0.158566, 0.10902
0.005, 0.0192481, 0.153398, 0.125478
0.006, 0.0210986, 0.149384, 0.141237
0.007, 0.0228583, 0.146141, 0.156412
0.008, 0.0245415, 0.143449, 0.171082
0.009, 0.026159, 0.141167, 0.185306
0.01, 0.0277191, 0.139202, 0.199129
0.02, 0.041178, 0.128267, 0.321033
0.03, 0.0522567, 0.123702, 0.422441
0.04, 0.0619028, 0.121382, 0.509985
0.05, 0.0705287, 0.120111, 0.587195
0.06, 0.0783624, 0.119389, 0.65636
0.07, 0.0855486, 0.118965, 0.719107
0.08, 0.0921851, 0.118699, 0.77663
0.09, 0.0983433, 0.118508, 0.829849
0.1, 0.104078, 0.11834, 0.879484
0.2, 0.144586, 0.114496, 1.2628
0.3, 0.164287, 0.106447, 1.54337
0.4, 0.169738, 0.0973483, 1.74361
0.5, 0.164162, 0.0896619, 1.83089
0.6, 0.149543, 0.0844964, 1.76981
0.7, 0.127194, 0.0817072, 1.5567
0.8, 0.0979674, 0.079757, 1.22832
0.9, 0.062155, 0.0745, 0.834295
0.0001, 0.00897139, 0.283905, 0.0316
0.0002, 0.00870542, 0.254295, 0.0342336
0.0003, 0.00878488, 0.23852, 0.0368308
0.0004, 0.00897255, 0.227991, 0.0393549
0.0005, 0.00920639, 0.220197, 0.0418098
0.0006, 0.00946259, 0.214071, 0.0442031
0.0007, 0.00972999, 0.20906, 0.0465416
0.0008, 0.0100029, 0.204846, 0.0488314
0.0009, 0.0102782, 0.201228, 0.0510771
0.001, 0.0105538, 0.198071, 0.0532829
0.002, 0.0132088, 0.179264, 0.0736835
0.003, 0.0156379, 0.170025, 0.0919738
0.004, 0.0178852, 0.164407, 0.108786
0.005, 0.0199924, 0.160672, 0.12443
0.006, 0.021988, 0.158078, 0.139095
0.007, 0.0238918, 0.156245, 0.152912
0.008, 0.0257181, 0.154952, 0.165975
0.009, 0.0274779, 0.154057, 0.178361
0.01, 0.0291794, 0.153469, 0.190132
0.02, 0.0440071, 0.155717, 0.282609
0.03, 0.0563792, 0.163319, 0.345209
0.04, 0.0672492, 0.172216, 0.390495
0.05, 0.0770333, 0.181272, 0.424961
0.06, 0.085963, 0.190044, 0.452332
0.07, 0.094186, 0.198335, 0.474883
0.08, 0.101803, 0.206058, 0.494051
0.09, 0.108888, 0.213177, 0.510788
0.1, 0.115499, 0.219686, 0.525748
0.2, 0.162488, 0.256165, 0.634309
0.3, 0.185962, 0.26029, 0.714443
0.4, 0.19422, 0.253919, 0.76489
0.5, 0.191842, 0.249712, 0.76825
0.6, 0.181792, 0.253343, 0.717574
0.7, 0.165887, 0.264893, 0.62624
0.8, 0.144845, 0.27861, 0.519884
0.9, 0.117346, 0.278168, 0.421851
0.0001, 0.00810638, 0.0851615, 0.0951884
0.0002, 0.00733694, 0.0762686, 0.0961987
0.0003, 0.00699444, 0.0715262, 0.0977884
0.0004, 0.00680549, 0.0683577, 0.0995569
0.0005, 0.00669313, 0.0660098, 0.101396
0.0006, 0.00662555, 0.064162, 0.103263
0.0007, 0.00658664, 0.062649, 0.105136
0.0008, 0.00656748, 0.0613751, 0.107006
0.0009, 0.00656248, 0.0602797, 0.108867
0.001, 0.00656798, 0.0593227, 0.110716
0.002, 0.0068801, 0.053583, 0.128401
0.003, 0.00733941, 0.0507143, 0.144721
0.004, 0.00782587, 0.0489327, 0.159931
0.005, 0.00831316, 0.0477166, 0.174219
0.006, 0.00879327, 0.0468439, 0.187714
0.007, 0.0092636, 0.0462, 0.200511
0.008, 0.0097235, 0.0457186, 0.212681
0.009, 0.0101731, 0.0453578, 0.224285
