# mu value:
1.414214
# num_x_vals
36
# x, apfel++, SAL, ratio
0.0001, 4.36355, 5.1432, 0.84841
0.0002, 3.57215, 3.46351, 1.03137
0.0003, 3.17691, 2.74798, 1.15609
0.0004, 2.92285, 2.33168, 1.25354
0.0005, 2.73962, 2.05258, 1.33472
0.0006, 2.59832, 1.84942, 1.40494
0.0007, 2.48435, 1.69335, 1.46712
0.0008, 2.38957, 1.56877, 1.52321
0.0009, 2.30888, 1.46647, 1.57445
0.001, 2.2389, 1.38058, 1.62171
0.002, 1.82636, 0.927189, 1.96978
0.003, 1.61893, 0.733652, 2.20668
0.004, 1.48473, 0.620823, 2.39155
0.005, 1.38732, 0.54503, 2.5454
0.006, 1.31172, 0.489753, 2.67834
0.007, 1.25037, 0.447204, 2.79597
0.008, 1.19904, 0.413178, 2.90199
0.009, 1.15508, 0.385182, 2.99877
0.01, 1.11672, 0.361634, 3.08799
0.02, 0.884504, 0.236295, 3.74322
0.03, 0.761483, 0.181853, 4.18736
0.04, 0.67825, 0.149625, 4.53301
0.05, 0.615432, 0.12768, 4.82012
0.06, 0.564979, 0.111481, 5.06794
0.07, 0.52278, 0.0988796, 5.28704
0.08, 0.486521, 0.0887086, 5.48448
0.09, 0.45471, 0.080273, 5.66454
0.1, 0.426419, 0.0731293, 5.83103
0.2, 0.244517, 0.0345977, 7.06745
0.3, 0.146254, 0.018395, 7.95079
0.4, 0.0859763, 0.00983203, 8.74451
0.5, 0.0483612, 0.00501027, 9.65242
0.6, 0.0256368, 0.00231205, 11.0883
0.7, 0.0128412, 0.00089335, 14.3742
0.8, 0.00635607, 0.000245297, 25.9117
0.9, 0.00317577, 2.86712e-05, 110.765
0.0001, 0.0276068, 0.283756, 0.0972905
0.0002, 0.0239924, 0.253998, 0.094459
0.0003, 0.022553, 0.238075, 0.0947304
0.0004, 0.0218471, 0.227398, 0.0960743
0.0005, 0.0214903, 0.219457, 0.0979248
0.0006, 0.0213292, 0.213183, 0.100051
0.0007, 0.0212887, 0.208025, 0.102338
0.0008, 0.0213284, 0.203663, 0.104724
0.0009, 0.0214234, 0.199898, 0.107172
0.001, 0.0215579, 0.196593, 0.109657
0.002, 0.0237603, 0.17632, 0.134756
0.003, 0.0263068, 0.165627, 0.158832
0.004, 0.0288076, 0.158566, 0.181676
0.005, 0.0312071, 0.153398, 0.203438
0.006, 0.0335018, 0.149384, 0.224266
0.007, 0.0356993, 0.146141, 0.244279
0.008, 0.0378089, 0.143449, 0.263571
0.009, 0.0398396, 0.141167, 0.282217
0.01, 0.0417993, 0.139202, 0.300278
0.02, 0.0586051, 0.128267, 0.456898
0.03, 0.0722075, 0.123702, 0.583724
0.04, 0.0838641, 0.121382, 0.690912
0.05, 0.094144, 0.120111, 0.783806
0.06, 0.103365, 0.119389, 0.865784
0.07, 0.111731, 0.118965, 0.939192
0.08, 0.119378, 0.118699, 1.00572
0.09, 0.126405, 0.118508, 1.06664
0.1, 0.132891, 0.11834, 1.12295
0.2, 0.176783, 0.114496, 1.54401
0.3, 0.195851, 0.106447, 1.83989
0.4, 0.198686, 0.0973483, 2.04098
0.5, 0.189289, 0.0896619, 2.11114
0.6, 0.169977, 0.0844964, 2.01165
0.7, 0.142154, 0.0817072, 1.73979
0.8, 0.106521, 0.079757, 1.33557
0.9, 0.0626199, 0.0745, 0.840535
0.0001, 0.027621, 0.283905, 0.0972898
0.0002, 0.0240206, 0.254295, 0.0944596
0.0003, 0.0225949, 0.23852, 0.0947298
0.0004, 0.0219029, 0.227991, 0.0960691
0.0005, 0.0215597, 0.220197, 0.0979111
0.0006, 0.0214124, 0.214071, 0.100025
0.0007, 0.0213856, 0.20906, 0.102294
0.0008, 0.0214389, 0.204846, 0.104658
0.0009, 0.0215475, 0.201228, 0.10708
0.001, 0.0216956, 0.198071, 0.109535
0.002, 0.0240333, 0.179264, 0.134066
0.003, 0.0267138, 0.170025, 0.157117
0.004, 0.0293475, 0.164407, 0.178505
0.005, 0.0318788, 0.160672, 0.19841
0.006, 0.0343044, 0.158078, 0.217009
0.007, 0.0366319, 0.156245, 0.234451
0.008, 0.0388705, 0.154952, 0.250856
0.009, 0.0410294, 0.154057, 0.266326
0.01, 0.0431163, 0.153469, 0.280944
0.02, 0.0611481, 0.155717, 0.392686
